Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34
Alaves,14,18,19,20,17,19,15,15,15,15,11,11,14,16,12,13,14,16,17,18,18,16,16,16,18,19,18,19,20,19,19,18,16,16
Athletic Club,16,19,14,15,19,14,16,13,14,10,9,14,13,10,10,12,9,12,13,9,11,11,10,10,10,8,11,9,10,11,9,9,10,9
Atletico Madrid,4,4,2,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barcelona,1,1,1,1,1,1,5,6,5,5,3,5,4,5,3,5,3,3,3,3,2,2,2,4,2,2,2,2,2,3,3,3,3,3
Cadiz,18,11,15,10,10,8,7,7,7,8,8,7,8,9,11,10,10,9,9,12,13,14,15,14,15,14,14,15,13,12,13,13,13,12
Celta Vigo,12,7,8,12,13,17,17,18,18,20,18,16,9,8,8,8,8,8,12,11,10,10,9,11,11,9,10,11,8,10,11,11,11,10
Eibar,13,14,18,19,14,16,13,16,16,16,10,10,11,15,16,15,13,15,15,15,15,17,17,17,16,18,19,18,19,20,20,20,20,20
Elche,20,20,20,17,18,13,11,12,12,12,13,12,15,18,17,16,18,18,18,19,10,19,19,19,19,17,17,17,17,18,18,16,17,19
Getafe,19,12,11,7,11,9,10,9,11,11,12,15,17,11,13,14,16,13,11,13,12,13,14,15,13,15,15,14,15,15,15,15,15,15
Granada,6,2,6,4,4,3,2,4,6,6,7,8,7,6,7,6,7,7,7,7,8,8,8,9,8,10,8,8,9,8,8,8,8,8
Huesca,11,17,17,14,15,15,19,19,20,19,20,20,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,18,16,17,19,19,18
Levante,15,15,10,13,16,18,18,17,17,18,19,17,18,14,14,9,12,11,10,10,9,9,11,8,9,11,9,10,11,9,10,10,12,13
Osasuna,5,9,13,16,12,12,9,11,13,14,16,18,20,20,20,19,19,19,19,17,17,15,12,13,12,13,13,13,14,14,12,12,9,11
Real Betis,7,3,5,9,6,10,12,8,9,13,15,9,10,12,9,11,11,10,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,7
Real Madrid,3,5,3,2,2,2,1,1,3,3,4,3,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2
Real Sociedad,8,13,7,11,7,5,4,3,2,2,2,2,2,3,4,3,4,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
Sevilla,17,10,4,3,3,7,8,10,8,7,6,6,6,7,6,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Valencia,2,8,9,6,9,11,14,14,10,9,14,13,12,13,15,17,17,14,14,14,14,12,13,12,14,12,12,12,12,13,14,14,14,14
Valladolid,10,16,16,18,20,20,20,20,19,17,17,19,16,17,18,18,15,17,16,16,16,18,18,18,17,16,16,16,16,17,16,17,18,17
Villarreal,9,6,12,8,8,6,6,5,4,4,5,4,5,4,5,7,6,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,6
