Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,11.7,573,705,81.3,9485,4365,1,0.8,+0.2,11,43,21,4,76
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,10.6,138,201,68.7,1925,327,1,0.9,+0.1,8,12,2,0,11
Che Adams\Che-Adams,eng ENG,FW,Southampton,19,288,413,69.7,4739,1079,4,4.3,-0.3,22,20,12,0,38
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,18,779,905,86.1,18458,6406,0,0.1,-0.1,3,39,2,0,36
Adrián\Adrian,es ESP,GK,Liverpool,2,43,62,69.4,1147,723,0,0,0,0,0,0,0,0
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,1.6,33,42,78.6,386,58,0,0.6,-0.6,3,2,1,0,1
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,17.7,782,1013,77.2,15293,6132,0,0.3,-0.3,8,66,11,6,69
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,7.7,299,357,83.8,4712,1364,1,0.7,+0.3,6,13,6,3,18
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,22,553,763,72.5,12087,5164,0,0.1,-0.1,2,50,3,0,46
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,5.2,429,461,93.1,7845,2158,0,0,0,1,36,0,0,23
Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,11.6,343,507,67.7,5965,2483,2,2.6,-0.6,18,33,25,11,52
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,8.3,664,748,88.8,14012,3524,0,0.8,-0.8,12,85,10,1,83
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,13.9,541,670,80.7,12608,3626,0,0.2,-0.2,3,45,4,1,31
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,0.2,7,11,63.6,126,51,0,0,0,0,0,0,0,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19.5,1332,1733,76.9,28923,11190,3,2.7,+0.3,28,131,57,13,166
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,15,810,979,82.7,13090,4247,0,1.5,-1.5,15,58,17,7,60
