Player,Pos,Squad,90s,Prog
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,11.7,76
Tammy Abraham\Tammy-Abraham,FW,Chelsea,10.6,11
Che Adams\Che-Adams,FW,Southampton,19,38
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,18,36
Adrián\Adrian,GK,Liverpool,2,0
Sergio Agüero\Sergio-Aguero,FW,Manchester City,1.6,1
Ola Aina\Ola-Aina,DF,Fulham,17.7,69
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,7.7,18
Semi Ajayi\Semi-Ajayi,DF,West Brom,22,46
Nathan Aké\Nathan-Ake,DF,Manchester City,5.2,23
Marc Albrighton\Marc-Albrighton,FWDF,Leicester City,11.6,52
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,8.3,82
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,13.9,31
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,19.5,166
Ezgjan Alioski\Ezgjan-Alioski,DFMF,Leeds United,15,60
Alisson\Alisson,GK,Liverpool,19,0
Allan\Allan,MF,Everton,11.4,26
Dele Alli\Dele-Alli,MFFW,Tottenham,0.9,2
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,15.2,39
Marcos Alonso\Marcos-Alonso,DF,Chelsea,4.8,23
Steven Alzate\Steven-Alzate,MF,Brighton,6.8,21
Daniel Amartey\Daniel-Amartey,DF,Leicester City,3.1,11
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,14.8,58
Joachim Andersen\Joachim-Andersen,DF,Fulham,15.7,52
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,2
Michail Antonio\Michail-Antonio,FW,West Ham,11.9,10
Alphonse Areola\Alphonse-Areola,GK,Fulham,21,0
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,16.5,54
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,3,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,17.5,40
Serge Aurier\Serge-Aurier,DF,Tottenham,11.9,40
Charlie Austin\Charlie-Austin,FW,West Brom,1.5,4
Jordan Ayew\Jordan-Ayew,FW,Crystal Palace,12.6,21
Luke Ayling\Luke-Ayling,DF,Leeds United,21.8,141
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,11.6,56
Eric Bailly\Eric-Bailly,DF,Manchester Utd,6.1,18
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,12,27
George Baldock\George-Baldock,DF,Sheffield Utd,18.5,38
Gareth Bale\Gareth-Bale,FW,Tottenham,2.6,5
Patrick Bamford\Patrick-Bamford,FW,Leeds United,20.8,13
Phil Bardsley\Phil-Bardsley,DF,Burnley,3,11
Ross Barkley\Ross-Barkley,MF,Aston Villa,10.2,44
Ross Barkley\Ross-Barkley,MF,Chelsea,0.5,2
Ashley Barnes\Ashley-Barnes,FW,Burnley,12.4,17
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,19.1,55
Kyle Bartley\Kyle-Bartley,DF,West Brom,13.8,14
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,21.1,52
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,7.1,9
Jan Bednarek\Jan-Bednarek,DF,Southampton,20.9,63
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,3.4,5
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,19.2,72
Saïd Benrahma\Said-Benrahma,MFFW,West Ham,9.4,29
Josh Benson\Josh-Benson,MF,Burnley,2.9,7
Christian Benteke\Christian-Benteke,FW,Crystal Palace,8.1,14
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,7.1,19
Sander Berge\Sander-Berge,MF,Sheffield Utd,11.3,29
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,11.3,14
Bernard\Bernard,FWMF,Everton,3,13
Bernardo\Bernardo,DFMF,Brighton,2.3,6
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,19.9,67
Yves Bissouma\Yves-Bissouma,MF,Brighton,19.6,73
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,6.8,17
Willy Boly\Willy-Boly,DF,Wolves,16,33
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,18.6,30
Robbie Brady\Robbie-Brady,MF,Burnley,10.7,28
