eventId,minute,second,teamId,x,y,playerId,type/displayName,type/value
2,0,0.0,65,0.0,0.0,,Start,32
2,0,0.0,833,0.0,0.0,,Start,32
3,0,1.0,833,50.8,51.5,303800.0,Pass,1
4,0,4.0,833,28.4,58.4,316957.0,Pass,1
5,0,7.0,833,66.6,24.7,303800.0,BallTouch,61
3,0,8.0,65,27.9,80.6,5.0,BallRecovery,49
4,0,9.0,65,30.6,64.3,5.0,Pass,1
5,0,13.0,65,26.4,22.4,28.0,Pass,1
6,0,18.0,65,29.2,37.7,4.0,Pass,1
7,0,23.0,65,39.8,70.3,23.0,Pass,1
8,0,28.0,65,43.9,33.1,4.0,Pass,1
9,0,34.0,65,47.8,64.9,23.0,Pass,1
10,0,38.0,65,49.9,33.0,4.0,Pass,1
11,0,40.0,65,56.4,30.1,7.0,Pass,1
12,0,42.0,65,48.4,8.8,28.0,Pass,1
13,0,44.0,65,53.1,2.9,11.0,Pass,1
14,0,46.0,65,36.2,8.0,28.0,BallTouch,61
34,0,47.0,65,31.2,11.3,5.0,BallTouch,61
7,0,51.0,833,61.3,72.7,125246.0,BallRecovery,49
8,0,52.0,833,61.5,73.2,125246.0,Pass,1
9,0,54.0,833,74.5,89.0,303800.0,Pass,1
10,0,56.0,833,73.0,94.7,135098.0,Pass,1
15,0,57.0,65,15.9,30.6,4.0,Clearance,12
11027,1,,833,92.3,69.4,135098.0,OffsideGiven,10000
11,1,0.0,833,63.1,58.1,125246.0,Pass,1
12,1,5.0,833,56.8,32.7,14085.0,Pass,1
13,1,7.0,833,37.1,48.7,101130.0,Pass,1
14,1,9.0,833,45.3,68.5,118898.0,Pass,1
15,1,11.0,833,59.5,72.7,133808.0,Pass,1
16,1,14.0,833,52.2,83.2,118898.0,Pass,1
17,1,16.0,833,60.5,95.6,135098.0,Pass,1
18,1,17.0,833,55.9,77.5,133808.0,Pass,1
19,1,19.0,833,34.9,73.0,316957.0,Pass,1
20,1,20.0,833,44.0,67.2,118898.0,Pass,1
21,1,26.0,833,43.0,28.6,101130.0,Pass,1
22,1,29.0,833,48.1,41.8,125246.0,Pass,1
23,1,32.0,833,50.6,76.0,316957.0,Pass,1
24,1,34.0,833,60.3,94.5,135098.0,Pass,1
17,1,36.0,65,37.5,11.9,21.0,Interception,8
18,1,36.0,65,34.0,11.6,21.0,BallRecovery,49
19,1,40.0,65,33.6,2.9,21.0,Pass,1
25,1,40.0,833,63.4,79.9,133808.0,BallRecovery,49
26,1,41.0,833,67.2,82.2,133808.0,Pass,1
20,1,44.0,65,16.2,30.7,4.0,OffsideProvoked,55
27,1,44.0,833,74.5,64.9,303800.0,OffsidePass,2
22,2,7.0,65,8.3,34.8,1.0,Pass,1
23,2,8.0,65,23.5,74.2,23.0,Pass,1
24,2,14.0,65,36.6,46.6,4.0,Pass,1
25,2,16.0,65,41.1,68.5,23.0,Pass,1
26,2,22.0,65,52.5,33.1,4.0,Pass,1
27,2,25.0,65,50.8,12.0,28.0,Pass,1
30,2,28.0,833,10.3,75.9,109930.0,KeeperPickup,52
31,2,40.0,833,9.9,60.0,109930.0,Pass,1
32,2,42.0,833,17.4,37.0,101130.0,Pass,1
33,2,43.0,833,19.5,71.5,316957.0,Pass,1
34,2,44.0,833,27.5,66.1,118898.0,Pass,1
35,2,47.0,833,23.1,85.6,316957.0,Pass,1
36,2,48.0,833,25.6,78.2,118898.0,Pass,1
28,2,49.0,65,60.0,11.0,28.0,Pass,1
29,2,50.0,65,66.2,9.8,11.0,BallRecovery,49
30,2,50.0,65,66.2,9.8,11.0,Pass,1
37,2,53.0,833,27.4,61.7,125246.0,BallRecovery,49
38,2,53.0,833,28.5,63.5,125246.0,Pass,1
31,2,54.0,65,66.4,48.2,9.0,Challenge,45
39,2,54.0,833,33.6,51.8,402086.0,TakeOn,3
40,2,56.0,833,37.9,53.2,402086.0,Pass,1
