minute,second,teamId,x,y,period,type,outcome,playerId,endX,endY
0,0,Manchester United,0,0,FirstHalf,Start,Successful,,,
0,0,Villarreal,0,0,FirstHalf,Start,Successful,,,
0,0,Manchester United,49.9,50,FirstHalf,Pass,Successful,18,31.5,59.6
0,3,Manchester United,32.2,58.1,FirstHalf,Pass,Unsuccessful,2,69.6,100
0,32,Villarreal,34.4,0,FirstHalf,Pass,Successful,8,36.5,9.5
0,34,Villarreal,35.1,9.1,FirstHalf,Pass,Successful,7,31.9,2.3
0,35,Villarreal,33.6,2.6,FirstHalf,TakeOn,Unsuccessful,8,,
0,35,Manchester United,66.4,97.4,FirstHalf,Tackle,Successful,10,,
0,52,Villarreal,34.2,0,FirstHalf,Pass,Successful,8,35,10.6
0,54,Villarreal,34.1,14,FirstHalf,Pass,Successful,5,31.3,37.4
0,55,Villarreal,30,53.3,FirstHalf,Foul,Successful,14,,
0,55,Manchester United,70,46.7,FirstHalf,Foul,Unsuccessful,11,,
1,5,Villarreal,26.1,65.7,FirstHalf,Pass,Successful,4,34,87.1
1,10,Villarreal,33.3,87.1,FirstHalf,Pass,Successful,24,21.9,75.7
1,14,Villarreal,26.6,76.6,FirstHalf,Pass,Successful,4,24.1,5.9
1,19,Villarreal,28.6,5.9,FirstHalf,Pass,Successful,8,43,4.1
1,23,Villarreal,30.3,12.6,FirstHalf,Pass,Successful,30,14.4,13.1
1,28,Villarreal,19.6,15,FirstHalf,Pass,Successful,3,25,92.4
1,35,Manchester United,62.7,16.6,FirstHalf,Challenge,Unsuccessful,29,,
1,35,Villarreal,37.3,83.4,FirstHalf,TakeOn,Successful,24,,
1,36,Villarreal,44.6,72.9,FirstHalf,Pass,Successful,24,45.8,65.2
1,38,Villarreal,50.1,68.1,FirstHalf,Pass,Successful,14,44.2,70.5
1,42,Villarreal,44.1,69.4,FirstHalf,Pass,Successful,5,37.6,38.5
1,44,Villarreal,40.4,34.2,FirstHalf,Pass,Successful,3,54.1,3.1
1,48,Villarreal,58.3,19.4,FirstHalf,Pass,Successful,30,58.3,27.6
1,50,Villarreal,55.5,25.8,FirstHalf,Pass,Successful,25,48,11.7
1,52,Villarreal,46.4,10.9,FirstHalf,Pass,Successful,8,57.4,2.5
1,54,Villarreal,58.2,4.1,FirstHalf,Pass,Successful,7,63.7,26.1
1,58,Villarreal,65.3,30.1,FirstHalf,Pass,Unsuccessful,9,63.1,32.8
1,58,Manchester United,34.8,66.3,FirstHalf,Interception,Successful,39,,
2,0,Villarreal,59.6,32.7,FirstHalf,Pass,Successful,25,54.5,42.1
2,1,Villarreal,54.7,41,FirstHalf,Pass,Unsuccessful,5,60.5,48.7
2,1,Manchester United,38.6,53.9,FirstHalf,BallRecovery,Successful,11,,
2,2,Manchester United,38.6,53.9,FirstHalf,Pass,Successful,11,45.9,66.4
2,9,Manchester United,58.1,95,FirstHalf,Pass,Unsuccessful,18,62.4,94.4
2,9,Villarreal,36.3,4.9,FirstHalf,Interception,Successful,8,,
2,9,Villarreal,40.9,5.9,FirstHalf,BallTouch,Successful,25,,
2,10,Villarreal,36.6,4.8,FirstHalf,Pass,Successful,8,43.7,8.3
2,11,Villarreal,40,5,FirstHalf,BallRecovery,Successful,30,,
2,11,Villarreal,45.6,6.4,FirstHalf,Pass,Successful,30,40,5
2,12,Villarreal,35.5,5.4,FirstHalf,BallTouch,Unsuccessful,8,,
2,12,Manchester United,60.1,95.2,FirstHalf,Pass,Unsuccessful,18,61.3,95.2
2,13,Villarreal,40.1,8.9,FirstHalf,BlockedPass,Successful,8,,
2,13,Manchester United,63,94,FirstHalf,Dispossessed,Successful,18,,
2,13,Villarreal,37,6,FirstHalf,Tackle,Successful,8,,
2,13,Villarreal,43.9,5.8,FirstHalf,BallTouch,Successful,8,,
2,14,Villarreal,46.7,6,FirstHalf,Pass,Successful,25,47.2,15.5
2,16,Villarreal,46,10.9,FirstHalf,BallRecovery,Successful,7,,
2,16,Villarreal,47.1,11.3,FirstHalf,Pass,Successful,7,52.2,4.7
2,17,Villarreal,52.8,3.2,FirstHalf,Pass,Unsuccessful,25,54.7,6.7
2,17,Manchester United,44.7,89.4,FirstHalf,BallTouch,Successful,39,,
2,20,Manchester United,37.1,97.2,FirstHalf,BallRecovery,Successful,23,,
2,20,Manchester United,37.1,97.2,FirstHalf,Pass,Successful,23,25.7,82.1
2,22,Manchester United,25.7,82.1,FirstHalf,Pass,Successful,2,10.1,53.1
2,29,Manchester United,10.7,45.5,FirstHalf,Pass,Successful,1,15.3,68.5
2,33,Manchester United,22,56.9,FirstHalf,Pass,Successful,2,27.5,23.3
2,37,Manchester United,28.6,25.8,FirstHalf,Pass,Successful,3,28,61.1
2,41,Manchester United,32.2,64.9,FirstHalf,Pass,Successful,2,37,94.2
2,44,Manchester United,38.6,94.4,FirstHalf,Pass,Successful,23,44.6,95.7
2,45,Manchester United,44.6,95.7,FirstHalf,Pass,Successful,10,36.8,96.2
2,47,Manchester United,36.8,96.2,FirstHalf,Pass,Successful,23,28.9,72.3
2,53,Manchester United,31.7,54.2,FirstHalf,Pass,Successful,2,32.9,24.1
2,58,Manchester United,36.3,14.4,FirstHalf,Pass,Successful,3,32.6,38.6
3,2,Manchester United,35.3,40.3,FirstHalf,Pass,Unsuccessful,2,64.9,100
3,26,Villarreal,44.8,0,FirstHalf,Pass,Successful,8,52.3,7.7
3,29,Villarreal,48.1,11.9,FirstHalf,Pass,Unsuccessful,7,46.7,42.5
3,30,Manchester United,52.5,55.4,FirstHalf,BallRecovery,Successful,11,,
3,31,Manchester United,47.3,53,FirstHalf,Pass,Successful,11,43.6,30.9
3,34,Manchester United,55.3,18.5,FirstHalf,Pass,Successful,29,60.5,12.8
3,39,Manchester United,60.5,12.8,FirstHalf,Pass,Successful,11,45.5,35.7
3,42,Manchester United,45.6,42.7,FirstHalf,Pass,Successful,3,53.3,69.9
3,45,Manchester United,58,74.2,FirstHalf,Pass,Successful,2,69.6,97.2
3,50,Manchester United,73.7,83.3,FirstHalf,Pass,Successful,10,65.8,69.1
3,52,Manchester United,65.4,66.4,FirstHalf,Pass,Successful,2,56.5,51.2
3,55,Manchester United,58.1,52.8,FirstHalf,Pass,Successful,3,57.5,70.9
