,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,position,possession,possession_team,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
0,,,,,,,,,,,0.0,,,,,,,,,,,,,47638847-fd43-4656-b49c-cff64e5cfc0a,1,,,,8658,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3961, 'name': 'N""Golo Kanté'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",France,00:00:00.000,Starting XI,
1,,,,,,,,,,,1.412,,,,,,,,,,,,,0c04305d-5615-4520-9be5-7c232829954b,2,,,,8658,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Croatia,00:00:00.000,Starting XI,
2,,,,,,,,,,,0.0,,,,,,,,,,,,,c5e17439-efe2-480b-9cff-1600998674d7,3,,,,8658,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,['7e1460eb-c572-4059-8cd4-cec4857f818d'],0,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,
3,,,,,,,,,,,0.0,,,,,,,,,,,,,7e1460eb-c572-4059-8cd4-cec4857f818d,4,,,,8658,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,1,France,['c5e17439-efe2-480b-9cff-1600998674d7'],0,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,
4,,,,,,,,,,,0.0,,,,,,,,,,,,,de38f496-4c6b-488c-9a23-2c5c94c0e04f,1333,,,,8658,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,91,France,['af5cd744-624f-4555-b405-04e474c6bb09'],0,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,
5,,,,,,,,,,,0.0,,,,,,,,,,,,,af5cd744-624f-4555-b405-04e474c6bb09,1334,,,,8658,45,,,,,,,,,,,,,,,,,,2,From Free Kick,,,91,France,['de38f496-4c6b-488c-9a23-2c5c94c0e04f'],0,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,
6,,,,,,,,,,,1.159,,,,,,,,,,,,,918ffaaf-3cee-41e5-87e2-4bcc8d43a859,5,,,"[61.0, 41.0]",8658,0,,3.050933,,,Right Foot,,,,"[50.0, 42.0]",,Ground Pass,11.045361,,Marcelo Brozović,,,Kick Off,1,From Kick Off,Mario Mandžukić,Center Forward,2,Croatia,['329cb470-9b7a-4b19-b8d2-50fa902295af'],0,,,,,,,,,,,,,,,Croatia,00:00:00.400,Pass,
7,,,,,,,,,,,0.773,,,,,,,,,,,,,028c24b1-ea60-41d4-aa74-9275471cdda6,8,,,"[49.0, 41.0]",8658,0,,2.0344439,,,Right Foot,,,,"[44.0, 51.0]",,Ground Pass,11.18034,,Luka Modrić,,,,1,From Kick Off,Marcelo Brozović,Center Defensive Midfield,2,Croatia,['1a3cda1b-1796-4126-855e-8af1d9fdb4b1'],2,,,,,,,,,,,,,,,Croatia,00:00:02.347,Pass,
8,,,,,,,,,,,1.253,,,,,,,,,,,,,b207d109-9908-4163-9971-9496fe6d265c,12,,,"[43.0, 56.0]",8658,0,,1.6142472,,,Right Foot,,,,"[42.0, 79.0]",,Ground Pass,23.021729,,Šime Vrsaljko,,,,1,From Kick Off,Luka Modrić,Right Center Midfield,2,Croatia,['3cf2fd18-1c1b-47fd-b5bb-05b221b9f491'],3,,,,,,,,,,,,,,,Croatia,00:00:03.947,Pass,
9,,,,,,,,,,,2.667,,,,,,,,,,,,,0f85cbc5-389a-483b-901b-c3f8a65e32ab,16,,,"[38.0, 78.0]",8658,0,,-2.3386524,,,Right Foot,,,,"[10.0, 49.0]",,Ground Pass,40.311287,,Danijel Subašić,,,,1,From Kick Off,Šime Vrsaljko,Right Back,2,Croatia,"['251dceb4-b79a-42ff-96de-c0d64cec332a', '966dfba8-f60d-4a61-a85c-4626493bb79f']",6,,,,,,,,,,,,,,,Croatia,00:00:06.240,Pass,True
