Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Interceptions,Tkl+Int,Clearances,Errors
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-259,1990,19.7,1.62,0.96,0.71,1.37,3.45,6.55,2.84,1.02,1.57,1.73,3.35,2.03,0.05
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-225,1997,11.6,0.69,0.34,0.09,0.43,3.28,1.12,6.12,6.72,0.78,0.17,0.86,1.47,0
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-306,1996,28.1,1.03,0.57,0.21,0.57,4.7,1.71,5.41,7.12,0.89,0.36,1.39,0.57,0.04
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-233,1997,29.8,1.28,0.77,0.57,0.54,1.78,3.66,1.64,0.23,1.17,1.68,2.95,7.38,0.03
5,Adrián\Adrian,es ESP,GK,Liverpool,34-132,1987,3,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32-347,1988,5.9,0.51,0,0.34,1.36,4.07,1.36,5.08,8.64,0.85,0.68,1.19,0.17,0
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-219,1996,28.9,1.63,0.87,0.59,0.8,2.11,4.74,3.11,0.76,1.56,1.76,3.39,4.19,0
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-343,2001,13.7,2.12,1.09,0.8,0.88,4.53,8.03,4.38,1.75,1.68,0.88,2.99,2.48,0
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-187,1993,27.9,2.04,1.47,0.65,0.54,4.48,7.46,3.33,0.57,1.9,1.25,3.3,4.7,0.07
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-086,1995,8.9,1.69,0.67,0.45,0.11,2.81,3.93,3.37,0.9,0.67,0.56,2.25,2.92,0
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-178,1989,17.8,2.19,1.63,1.01,1.85,6.8,5.79,7.25,4.55,1.52,1.52,3.71,1.35,0
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-034,1991,17.6,3.24,2.05,0.97,1.48,6.82,5.74,11.5,5.34,1.48,1.76,5,0.85,0
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-074,1989,21.9,1.55,0.73,0.59,0.5,2.97,5.16,3.06,0.14,1.96,0.46,2.01,6.8,0
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-086,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-220,1998,30.7,1.76,1.11,1.01,0.75,3.52,3.62,3.45,2.51,1.34,1.34,3.09,2.12,0.03
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-092,1992,24.3,2.88,1.44,1.07,1.85,5.43,8.68,8.23,2.76,1.69,1.28,4.16,2.26,0
17,Alisson\Alisson,br BRA,GK,Liverpool,28-225,1992,30,0,0,0,0.03,0.03,0.17,0,0,0,0,0,0.03,0.23
18,Allan\Allan,br BRA,MF,Everton,30-127,1991,19.8,3.23,2.17,1.16,2.88,8.23,12.1,14.2,1.57,1.67,1.06,4.29,1.26,0
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-034,1996,4.2,1.67,1.19,0.48,1.19,6.9,5,11.7,12.9,1.43,1.9,3.57,0.71,0
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-094,1994,25.1,1.91,1.12,0.64,1.51,4.3,6.57,7.93,4.58,1.43,1.04,2.95,0.96,0.04
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-138,1990,10.7,1.21,0.75,0.28,1.31,3.83,5.7,4.58,2.8,2.06,1.03,2.24,3.46,0
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-249,1998,8.2,2.07,1.59,0.24,0.49,5.85,4.39,6.95,3.9,1.83,0.61,2.68,1.1,0.12
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-145,1994,8,1.5,0.75,0.88,0.63,3,4.63,2.75,0.38,2.38,1.5,3,5.25,0
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-243,2000,23.2,2.67,1.55,0.91,1.21,4.35,7.76,5.95,1.77,2.07,1.68,4.35,5.17,0.09
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-349,1996,28.7,1.25,0.77,0.59,0.59,2.16,4.08,1.74,0.38,1.05,1.67,2.93,7.7,0.03
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-190,2002,0,0,0,0,0,1,0,3,0,0,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-030,1993,0,1,1,0,2,1,1,2,0,0,0,1,0,0
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-048,1990,19.2,0.57,0.26,0.1,0.26,2.92,0.73,3.75,6.46,1.09,0.36,0.94,0.42,0
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-077,1993,34,0.03,0.03,0.03,0.09,0,0.12,0,0,0,0,0.03,0,0.03
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-046,1992,27.9,2.4,1.43,1.04,1.65,4.77,5.56,7.17,3.62,1.08,1.04,3.44,0.68,0.04
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-224,1994,6,0,0,0,0.17,0,0.33,0,0,0,0,0,0,0.67
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-331,1989,24,0.71,0.21,0.17,0.67,3.25,2.29,5.42,5.63,1.08,0.25,0.96,0.58,0
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-142,1992,17.8,4.1,2.13,1.18,1.69,6.29,11.8,7.08,2.7,2.42,1.35,5.45,2.92,0.11
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-314,1989,1.5,2.67,2,0.67,0.67,4.67,3.33,5.33,6.67,0,1.33,4,2,0
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-246,1991,22.2,2.25,1.44,0.63,1.31,6.94,5.9,15,8.11,1.26,1.13,3.38,0.45,0
