Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-185,1990,13.7,0,15,5,33.3,1.09,0.36,0,0,20.6,3,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-151,1997,11.3,6,31,13,41.9,2.73,1.15,0.19,0.46,9.9,0,0,0,5.6,5.6,0.18,+0.4,+0.4,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-232,1996,21.2,4,40,18,45,1.89,0.85,0.1,0.22,13.5,0,0,0,5.3,5.3,0.13,-1.3,-1.3,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-159,1997,22,0,17,4,23.5,0.77,0.18,0,0,9,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-058,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-273,1988,2.3,0,4,1,25,1.77,0.44,0,0,8.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-145,1996,21.2,2,12,3,25,0.57,0.14,0.17,0.67,25.3,1,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-269,2001,7.8,1,9,3,33.3,1.15,0.38,0.11,0.33,20.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-113,1993,23.3,2,7,3,42.9,0.3,0.13,0.29,0.67,10.1,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-012,1995,5.2,1,1,1,100,0.19,0.19,1,1,7,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
