minute,second,team,x,y,outcome
21,42,Barcelona,50.88,85.2,Saved
29,33,Barcelona,34.96,91.68,Missed
35,3,Barcelona,44.4,101.64,Saved
41,3,Barcelona,27.92,96.36,Saved
42,9,Barcelona,50.4,104.88,Saved
42,13,Barcelona,21.6,108,Missed
45,32,Barcelona,47.84,107.64,Saved
46,51,Barcelona,47.04,89.76,Saved
57,31,Barcelona,48.64,107.04,Post
60,12,Barcelona,33.76,101.64,Missed
64,29,Barcelona,37.36,98.28,Saved
66,58,Barcelona,50.72,107.52,Missed
69,12,Barcelona,37.36,98.28,Missed
69,57,Barcelona,54.56,104.04,Saved
77,5,Barcelona,52.32,89.76,Saved
80,9,Barcelona,46.24,91.44,Missed
82,51,Barcelona,41.12,97.8,Saved
84,15,Barcelona,27.44,87.84,Missed
87,51,Barcelona,28.88,96.36,Missed
89,6,Barcelona,42.08,99.36,Saved
