Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-09-13,16:30 (09:30),Matchweek 1,Sun,Home,L,0,1,Everton,1,1.4,51,,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2020-09-20,12:00 (05:00),Matchweek 2,Sun,Away,W,5,2,Southampton,2.5,1.5,49,,Hugo Lloris,4-3-2003,David Coote,Match Report,
2020-09-27,14:00 (07:00),Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,2.3,1,66,,Hugo Lloris,4-2-3-1,Peter Bankes,Match Report,
2020-10-04,16:30 (09:30),Matchweek 4,Sun,Away,W,6,1,Manchester Utd,3.8,0.9,62,,Hugo Lloris,4-3-2003,Anthony Taylor,Match Report,
2020-10-18,16:30 (09:30),Matchweek 5,Sun,Home,D,3,3,West Ham,1.2,2.1,51,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,
2020-10-26,20:00 (14:00),Matchweek 6,Mon,Away,W,1,0,Burnley,0.8,0.6,61,,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2020-11-01,19:15 (12:15),Matchweek 7,Sun,Home,W,2,1,Brighton,1.8,0.4,44,,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,
2020-11-08,12:00 (05:00),Matchweek 8,Sun,Away,W,1,0,West Brom,1.6,0.8,59,,Harry Kane,4-2-3-1,Andy Madley,Match Report,
2020-11-21,17:30 (10:30),Matchweek 9,Sat,Home,W,2,0,Manchester City,0.7,1.3,33,,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2020-11-29,16:30 (09:30),Matchweek 10,Sun,Away,D,0,0,Chelsea,0.2,1,40,,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,
2020-12-06,16:30 (09:30),Matchweek 11,Sun,Home,W,2,0,Arsenal,0.5,0.8,32,2000,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2020-12-13,14:15 (07:15),Matchweek 12,Sun,Away,D,1,1,Crystal Palace,1.1,1.2,56,2000,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,
