id,eventId,minute,second,teamId,x,y,period,type,outcome,playerId,endX,endY
2248226915,2,0,0,Barcelona,0,0,1,Start,Successful,,,
2248226919,2,0,0,Valladolid,0,0,1,Start,Successful,,,
2248226929,3,0,1,Barcelona,50,50,1,Pass,Successful,9,43.9,46.9
2248226941,4,0,2,Barcelona,43.8,46.9,1,Pass,Successful,8,36.4,56
2248226951,5,0,4,Barcelona,36.6,56.6,1,Pass,Successful,21,28.5,73.8
2248226973,6,0,5,Barcelona,28.3,74.1,1,Pass,Successful,15,11.6,51.8
2248226975,7,0,8,Barcelona,11.2,53.7,1,Pass,Successful,1,11.6,81.4
2248226979,8,0,11,Barcelona,11.1,85.3,1,Pass,Unsuccessful,15,13.8,85.3
2248226981,3,0,11,Valladolid,81.6,13.6,1,BlockedPass,Successful,382939,,
2248227027,10,0,29,Barcelona,3.4,48.2,1,Pass,Successful,1,35.7,39.2
2248227029,11,0,33,Barcelona,35.6,39.2,1,BallTouch,Successful,8,,
2248227051,12,0,35,Barcelona,38.5,43.9,1,Pass,Successful,10,28.3,41.8
2248227059,13,0,36,Barcelona,28.1,41.8,1,Pass,Successful,8,29.8,54
2248227075,14,0,37,Barcelona,29.9,53.9,1,Pass,Successful,10,28.4,81.4
2248227079,15,0,40,Barcelona,29.8,72.3,1,Pass,Successful,21,32.8,55.4
2248227097,16,0,41,Barcelona,32.7,55.4,1,Pass,Successful,8,27.2,39.1
2248227111,17,0,44,Barcelona,27.4,40.7,1,Pass,Successful,4,29.5,65.5
2248227129,18,0,48,Barcelona,41.6,80.9,1,Pass,Successful,15,51.7,72.3
2248227145,19,0,52,Barcelona,46,57.9,1,Pass,Unsuccessful,21,47.7,55.5
2248227139,5,0,53,Valladolid,51.4,42.7,1,BallTouch,Successful,106868,,
2248227171,20,0,55,Barcelona,56.5,35.1,1,Pass,Successful,8,66.1,4.6
2248227179,21,0,57,Barcelona,67,5.2,1,Pass,Successful,2,57.1,11.1
2248227185,22,0,58,Barcelona,57.7,11,1,Pass,Successful,28,53.9,23.4
2248227205,23,1,0,Barcelona,54.6,23.4,1,Pass,Successful,8,54.4,39.1
2248227217,24,1,4,Barcelona,63.1,50.4,1,Pass,Successful,21,64.7,61.4
2248227233,25,1,6,Barcelona,62.8,65.7,1,Pass,Successful,16,59.6,82.4
2248227257,26,1,8,Barcelona,59.6,82.4,1,Pass,Successful,15,68.7,93.9
2248227261,27,1,13,Barcelona,71.7,97.2,1,BallTouch,Unsuccessful,18,,
2248227389,7,1,29,Valladolid,30.1,0,1,Pass,Successful,121734,20.3,8.2
2248227395,8,1,32,Valladolid,20.3,8.2,1,Pass,Unsuccessful,106868,26.4,0
2248227475,30,1,40,Barcelona,70.3,100,1,Pass,Successful,18,56.3,93.3
2248227491,31,1,43,Barcelona,56.4,93.3,1,Pass,Successful,21,32,72.1
2248227523,32,1,45,Barcelona,32,72.1,1,Pass,Successful,15,31.7,45.2
2248227547,33,1,50,Barcelona,35,38.2,1,Pass,Successful,4,35.9,60.3
2248227565,34,1,55,Barcelona,46.1,74.8,1,Pass,Unsuccessful,15,96.8,74.7
2248227567,10,1,59,Valladolid,5.1,26.9,1,BallRecovery,Successful,365371,,
2248227591,11,2,0,Valladolid,5.1,26.9,1,Pass,Successful,365371,9.7,4.1
2248227595,12,2,4,Valladolid,18.6,2.3,1,Pass,Successful,121734,55.3,34.4
2248227603,13,2,6,Valladolid,55.3,34.4,1,Pass,Successful,382939,55.9,26.6
