x,y,is_goal,period,Assisted,Zone,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,DirectFreekick,OwnGoal,OtherBodyPart,DirectCorner
80.8,51.6,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
79.3,24.2,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
80.0,59.5,False,SecondHalf,True,Center,,,,True,True,,,,,,,,,,,,,,
89.8,55.6,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,
84.9,56.2,False,SecondHalf,True,Center,,True,True,,,,,True,,,,,,,,,,,
88.2,57.0,False,SecondHalf,True,Center,,True,True,,,True,,,,,,,,,,,,,
76.8,56.4,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
87.9,68.2,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
91.9,48.8,False,SecondHalf,True,Center,,True,,,,True,True,True,,,,,,,,,,,
75.0,51.9,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
72.9,55.1,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
90.5,50.1,False,SecondHalf,True,Center,,,,,,True,True,,True,,,,,,,,,,
93.6,55.6,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,
97.9,58.9,False,SecondHalf,True,Center,,True,True,,,,,True,,,,,,,,,,,
84.9,26.3,False,SecondHalf,True,Center,,True,,True,,,,,,,,,,,,,,,
90.6,31.7,False,SecondHalf,True,Center,,True,,True,,True,,,,,,,,,,,,,
90.1,36.8,False,SecondHalf,,Center,,True,,True,,,,,,,,,,,,,,,
87.8,42.5,False,SecondHalf,True,Center,,,,True,True,True,,,,,,,,,,,,,
87.7,53.2,False,SecondHalf,,Center,,,,,,True,True,,True,,,,,,,,,,
91.8,53.8,False,SecondHalf,,Center,,True,,True,,True,,True,,,,,,,,,,,
84.7,41.3,False,SecondHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
81.3,36.4,False,FirstHalf,True,Center,,True,,True,,,,,,,,,,,,,,,
80.1,65.2,False,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
87.0,60.3,False,FirstHalf,,Center,,True,True,,,,,,,,,,,,,,,,
91.1,28.4,False,FirstHalf,True,Center,,,True,,True,True,,,,True,,,,,,,,,
80.4,22.5,False,FirstHalf,True,Center,True,,True,,True,,,,,,,,,,,,,,
84.5,61.3,False,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
74.5,46.0,True,FirstHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
88.2,59.8,False,FirstHalf,True,Center,,,,,,True,True,,True,,,,,,,,,,
97.0,53.2,True,FirstHalf,True,Center,,True,,True,,True,,True,,,,,,,,,,,
78.7,60.3,False,SecondHalf,True,Center,True,,,True,,,,,,,True,,,,,,,,
85.5,42.1,False,SecondHalf,,Center,,,True,,,,,,,,True,,,,,,,,
91.7,43.8,False,SecondHalf,,Center,,,True,,,True,,,,True,,True,,,,,,,
88.9,54.0,False,SecondHalf,True,Center,,,,,,True,True,,True,,,,,,,,,,
89.5,64.6,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
72.4,46.0,False,SecondHalf,,Center,,True,,True,,,,,,,,,,,,,,,
68.7,53.7,False,SecondHalf,,Center,True,,,True,,True,,,True,True,,,,,,,,,
92.1,45.5,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,
77.3,40.4,False,SecondHalf,,Center,True,,,True,True,True,,,,True,,,,,,,,,
91.1,61.3,False,FirstHalf,True,Center,,True,True,,,,,,,,,,,,,,,,
83.4,51.6,False,FirstHalf,True,Center,,True,,True,,,,,,,,,,,,,,,
70.2,51.6,False,FirstHalf,True,Center,True,,,True,,,,,,,True,,,,,,,,
88.0,53.4,False,FirstHalf,True,Center,,,,,,True,True,,,,,True,,,,,,,
91.7,51.7,False,FirstHalf,True,Center,,,,True,,True,,True,True,True,,,,,,,,,
86.4,48.6,False,FirstHalf,True,Center,True,True,,True,,,,True,,,,,,,,,,,
80.3,50.6,False,FirstHalf,,Center,True,,,True,,,,,,,,True,,,,,,,
75.3,38.5,False,FirstHalf,,Center,True,True,True,,,True,,,,,,,,,,,,,
75.4,37.6,False,FirstHalf,,Center,True,True,,True,,,,,,,,,,,,,,,
80.5,59.1,False,FirstHalf,,Center,True,,True,,,True,,,True,,,,,,,,,,
72.5,47.7,False,FirstHalf,,Center,True,True,,True,,,,,,,,,,,,,,,
88.5,50.0,True,SecondHalf,,Center,,,,True,,,,True,,,,,True,,,,,,
97.3,40.7,False,SecondHalf,True,Center,,True,,,,True,True,True,,,,,,,,,,,
85.9,47.0,False,SecondHalf,True,Center,,,,True,,True,,True,True,,,,,True,,,,,
75.3,62.8,False,SecondHalf,,Center,True,True,,True,,,,,,True,,,,,,,,,
89.1,53.7,False,SecondHalf,True,Center,,,,,True,True,True,,,,,,,,,,,,
73.4,51.9,False,SecondHalf,,Center,True,,True,,,,,,,True,,True,,,True,,,,
81.5,52.3,False,SecondHalf,True,Center,True,,True,,,,,,,,,True,,,,,,,
85.2,44.9,False,SecondHalf,True,Center,,True,,,,True,True,,,,,,,,,,,,
91.4,66.8,False,SecondHalf,True,Center,,True,True,,,,,,,,,,,,,,,,
71.0,46.6,False,SecondHalf,,Center,True,True,True,,,,,,,,,,,,,,,,
74.4,34.8,False,SecondHalf,,Center,True,True,,True,,,,,,,,,,,,,,,
90.2,43.3,False,SecondHalf,True,Center,,True,,,,True,True,,,,,,,,,,,,
85.9,47.4,False,SecondHalf,True,Center,,True,,,,True,True,,,,,,,,,,,,
77.9,54.8,False,SecondHalf,,Center,True,,,True,,True,,,,,True,,,,,,,,
74.1,47.8,False,SecondHalf,True,Center,True,True,,True,,True,,,,,,,,,,,,,
74.8,44.6,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
89.5,34.0,False,FirstHalf,True,Center,,True,True,,,True,,,,,,,,,,,,,
89.6,60.2,False,FirstHalf,True,Center,,True,,,,True,True,,,,,,,,,,,,
90.0,32.7,False,FirstHalf,True,Center,,,True,,True,,,,,True,,,,,,,,,
91.3,42.8,False,FirstHalf,True,Center,,,,,True,True,True,True,,,,,,,,,,,
89.0,55.8,True,FirstHalf,True,Center,,True,,True,,,,True,,,,,,,,,,,
80.3,34.9,False,FirstHalf,True,Center,True,True,True,,,,,,,,,,,,,,,,
89.6,60.7,False,SecondHalf,True,Center,,True,,True,,,,True,,,,,,True,,,,,
92.7,65.1,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
73.6,45.1,False,SecondHalf,True,Center,True,True,True,,,True,,,,True,,,,,,,,,
82.7,46.8,False,SecondHalf,True,Center,True,True,,True,,,,,,,,,,,,,,,
88.8,52.2,False,SecondHalf,True,Center,,,True,,True,True,,,,,,,,,,,,,
67.5,70.1,False,SecondHalf,,Center,True,True,,True,,,,,,True,,,,,,,,,
95.1,32.8,False,SecondHalf,True,Center,,,,True,,,,True,,,True,,,,,,,,
90.8,39.5,False,SecondHalf,True,Center,,True,,True,,,,True,,,,,,,,,,,
88.5,56.7,True,SecondHalf,True,Center,,,True,,,True,,True,,,True,,,,,,,,
