,minute,team,xG,player,result
0,1,Southampton,0.10540209710597992,Nathan Redmond,BlockedShot
1,2,Southampton,0.13631956279277802,Jan Bednarek,BlockedShot
2,2,Southampton,0.03721703216433525,Oriol Romeu,BlockedShot
3,2,Southampton,0.021404273808002472,James Ward-Prowse,BlockedShot
4,3,Southampton,0.06636335700750351,Pierre-Emile Højbjerg,BlockedShot
5,9,Southampton,0.3638263642787933,Nathan Redmond,SavedShot
6,11,Southampton,0.3540951907634735,Shane Long,Goal
7,17,Southampton,0.03627388924360275,Nathan Redmond,MissedShots
8,21,Southampton,0.07680370658636093,Danny Ings,MissedShots
9,23,Southampton,0.380378007888794,Shane Long,SavedShot
10,23,Southampton,0.6089562177658081,Shane Long,ShotOnPost
11,47,Southampton,0.02763594314455986,Ryan Bertrand,MissedShots
12,49,Southampton,0.0264540147036314,Nathan Redmond,MissedShots
13,54,Southampton,0.033907949924468994,James Ward-Prowse,Goal
14,57,Southampton,0.4294915795326233,Danny Ings,SavedShot
15,58,Southampton,0.02199459634721279,Danny Ings,SavedShot
16,60,Southampton,0.050619982182979584,Matt Targett,BlockedShot
17,60,Southampton,0.05349698290228844,Nathan Redmond,MissedShots
18,66,Southampton,0.08668991178274155,Matt Targett,Goal
19,71,Southampton,0.01173526979982853,Pierre-Emile Højbjerg,MissedShots
20,79,Southampton,0.023273533210158348,Nathan Redmond,MissedShots
21,81,Southampton,0.018172144889831543,Pierre-Emile Højbjerg,MissedShots
22,19,Bournemouth,0.5160688757896423,Dan Gosling,Goal
23,31,Bournemouth,0.016306834295392036,David Brooks,SavedShot
24,31,Bournemouth,0.515467643737793,Callum Wilson,Goal
25,51,Bournemouth,0.02564789168536663,Jack Simpson,MissedShots
26,72,Bournemouth,0.03494173660874367,Ryan Fraser,MissedShots
27,82,Bournemouth,0.017407279461622238,Joshua King,MissedShots
28,85,Bournemouth,0.9731016159057616,Callum Wilson,Goal
29,87,Bournemouth,0.5066826343536377,Callum Wilson,SavedShot
30,94,Bournemouth,0.02492387406527996,Joshua King,MissedShots
