50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_recovery_failure,block_offensive,dribble_nutmeg,dribble_overrun,foul_committed_offensive,shot_one_on_one,clearance_other,foul_committed_type,miscontrol_aerial_won,goalkeeper_shot_saved_to_post,shot_open_goal,shot_saved_to_post,goalkeeper_success_in_play,ball_recovery_offensive,dribble_no_touch,player_off_permanent,goalkeeper_penalty_saved_to_post,goalkeeper_shot_saved_off_target,shot_follows_dribble,shot_saved_off_target,shot_redirect
,,,,,,,,,,,,,,,0.865482,,,,,,,,,,,,,,e0159fb4-47e8-422e-9216-6e44cf173408,342,,,"[99.6, 51.2]",3942819,6,,,1,Regular Play,Xavi Simons,39167.0,Center Attacking Midfield,11,Netherlands,941,['5820106f-bcbd-4d37-afe0-88d3cf9baf73'],41,,Right Foot,,"[120.0, 37.4, 2.0]",,"[{'location': [99.2, 65.4], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.1, 55.6], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.4, 41.5], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.2, 47.8], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 54.1], 'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 59.4], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.9, 50.5], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.6, 53.6], 'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.6, 42.6], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 29.6], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [96.2, 42.4], 'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.3, 23.8], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",Goal,0.04893475,Normal,Open Play,,,,,,Netherlands,941,00:06:41.445,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.935472,,,,,,,,,,,,,,0ec0210f-4dfb-4a1d-ab52-4c1f2156b219,446,,,"[88.2, 36.6]",3942819,12,,,1,Regular Play,Harry Kane,10955.0,Center Forward,17,England,768,['fd31ed99-e284-4cd8-93a8-f3b46c6bcbee'],39,,Right Foot,,"[118.3, 37.6, 0.3]",,"[{'location': [85.6, 34.3], 'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [84.5, 20.3], 'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [85.1, 14.6], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [89.3, 40.5], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.7, 24.6], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.8, 18.8], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.7, 30.1], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 34.4], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.5, 40.6], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.4, 39.7], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 49.9], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.9, 5.8], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [89.5, 11.3], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [96.8, 24.3], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.1, 31.3], 'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 59.6], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",Saved,0.028932061,Normal,Open Play,,,,,,England,768,00:12:39.772,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.083512,,,,,,,,,,,,,,825afa97-dac6-4d4b-b16d-585361c9ff61,496,,,"[104.5, 41.6]",3942819,13,,,1,From Throw In,Bukayo Saka,22084.0,Right Wing Back,18,England,768,"['0fcbf3ee-9e23-4cb8-b47e-8149a9a36625', '27ff03ea-0a0d-45ae-8214-e8facd572dd1']",41,,Left Foot,,"[106.2, 41.7]",,"[{'location': [109.9, 30.6], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [109.2, 40.2], 'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 36.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.8, 39.4], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 41.8], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.4, 40.5], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [90.7, 43.6], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.8, 40.4], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 42.8], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 40.7], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 35.1], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.8, 41.7], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 42.8], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 44.6], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.7, 54.3], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",Blocked,0.07174964,Normal,Open Play,,,,,,England,768,00:13:41.900,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.404925,,,,,,,,,,,,,,edf7aa7b-0c91-451b-b980-b4dc582aa0b1,505,,,"[108.1, 40.0]",3942819,17,,,1,Other,Harry Kane,10955.0,Center Forward,19,England,768,['3870748b-24d9-4614-8c5a-9fffdf1deb08'],34,,Right Foot,,"[120.0, 36.5, 0.2]",,,Goal,0.7835,Normal,Penalty,,,,,,England,768,00:17:34.626,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.163705,,,,,,,,,,,,,,f4db1f38-035c-49df-acc3-e8f237e266c5,665,,,"[117.0, 47.6]",3942819,22,,,1,Regular Play,Phil Foden,4354.0,Right Attacking Midfield,27,England,768,['384b1229-23d1-4b35-b4c3-0c6370ab7971'],28,,Right Foot,,"[117.7, 46.1, 0.3]",,"[{'location': [108.5, 26.2], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [111.8, 44.7], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.4, 41.9], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.4, 46.7], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [103.2, 48.6], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.6, 45.4], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 47.2], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.7, 46.2], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.1, 40.5], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.5, 50.5], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.6, 54.4], 'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",Saved,0.18899514,Normal,Open Play,,,,,,England,768,00:22:28.596,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.05366,,,,,,,,,,,,,,a903140d-6f1d-40b0-a27e-80ef05736351,946,,,"[102.9, 45.1]",3942819,28,,,1,From Counter,Donyell Malen,15582.0,Right Wing,34,Netherlands,941,"['0fb60bcd-41c4-42c0-9551-83528b64b24a', '1cd9b28d-2fbf-4a1f-ad09-85ac385c43d2']",15,,Left Foot,,"[103.8, 44.7]",True,"[{'location': [94.5, 59.9], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.6, 41.2], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.9, 54.2], 'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.6, 51.2], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.6, 35.2], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.6, 46.8], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.3, 43.8], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 44.7], 'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 30.5], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",Blocked,0.039829366,Normal,Open Play,,,,,,Netherlands,941,00:28:15.003,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.54994,,,,,,,,,,,,,,775b6541-9860-496d-8a2f-01afe478f934,953,,,"[111.3, 43.4]",3942819,29,,True,1,From Corner,Denzel Dumfries,8125.0,Right Back,35,Netherlands,941,"['c5c5c24a-67c5-4938-9d5a-a48892fc26bf', 'f6895c94-0447-4219-bde8-a503acf48309']",8,True,Head,,"[120.0, 42.7, 2.8]",,"[{'location': [115.5, 77.4], 'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.7, 45.0], 'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 41.2], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.2, 42.2], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.6, 46.7], 'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [113.7, 43.2], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [113.2, 40.7], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.0, 41.4], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.5, 40.7], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.8, 42.0], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.3, 37.8], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.1, 35.0], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.4, 41.0], 'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 39.7], 'player': {'id': 34526, 'name': 'Marc Guehi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.4, 44.5], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.3, 36.2], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.9, 43.4], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [119.1, 40.9], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.5, 33.2], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",Post,0.0631593,Normal,Open Play,,,,,,Netherlands,941,00:29:08.729,Shot,True,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.988542,,,,,,,,,,,,,,4045c78a-117e-44dc-9857-3cef77222d44,1047,,,"[95.8, 51.6]",3942819,31,,True,1,From Goal Kick,Phil Foden,4354.0,Right Attacking Midfield,36,England,768,"['6ec3cfbd-f665-40c4-b752-cdaad3e8dfa7', 'bc9ddb1e-096f-42e3-b720-adc7768d012a']",21,,Left Foot,,"[120.0, 36.0, 2.6]",,"[{'location': [103.6, 34.7], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.9, 32.8], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.6, 35.6], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [100.4, 44.9], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.1, 43.5], 'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.9, 55.1], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 47.9], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 49.0], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.3, 53.6], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.8, 41.1], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.6, 59.9], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.1, 48.5], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.7, 49.0], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.9, 61.5], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [98.7, 67.7], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",Post,0.028710563,Normal,Open Play,,,,,,England,768,00:31:21.055,Shot,True,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.01663,,,,,,,,,,,,,,7e8cabf4-9354-49bf-afcf-51c8a19fe5b5,1267,,,"[98.4, 50.6]",3942819,38,,,1,Regular Play,Phil Foden,4354.0,Right Attacking Midfield,42,England,768,['c980fa89-e003-450f-a043-82a68fade4a5'],41,,Left Foot,,"[119.2, 37.1, 0.3]",True,"[{'location': [95.2, 40.7], 'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.9, 39.4], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.7, 38.5], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.6, 27.3], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [90.5, 38.8], 'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.0, 65.1], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.0, 56.0], 'player': {'id': 21633, 'name': 'Joey Veerman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.6, 46.9], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.1, 50.2], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.3, 41.6], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 50.3], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 41.9], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 35.6], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.2, 61.7], 'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.3, 40.5], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.5, 47.5], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [106.7, 57.9], 'player': {'id': 99174, 'name': 'Kobbie Mainoo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [88.1, 64.9], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [105.1, 68.2], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",Saved,0.03463848,Normal,Open Play,,,,,,England,768,00:38:41.345,Shot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.143766,,,,,,,,,,,,,,5b71d580-b49f-47c4-936f-889cd9ca0980,1347,,,"[98.8, 52.9]",3942819,40,,,1,Regular Play,Kobbie Mainoo,99174.0,Right Defensive Midfield,45,England,768,"['15706a77-1289-4fdd-b9d2-06d302ddb5ad', '4f277469-a62a-40cf-8aa1-058953ec3329', 'f133331d-3c09-4b06-9f0f-83b69d978fdf']",27,,Right Foot,,"[102.5, 50.9]",,"[{'location': [95.9, 25.7], 'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 34.9], 'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.6, 38.2], 'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 51.1], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 47.4], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.3, 45.6], 'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.9, 50.7], 'player': {'id': 21633, 'name': 'Joey Veerman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [91.1, 49.0], 'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.9, 43.2], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.6, 35.5], 'player': {'id': 30714, 'name': 'Jude Bellingham'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [101.4, 47.9], 'player': {'id': 4354, 'name': 'Phil Foden'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [117.4, 42.0], 'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.2, 55.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.4, 43.9], 'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",Blocked,0.029809527,Normal,Open Play,,,,,,England,768,00:40:27.230,Shot,True,,,,,,,,,,,,,,,,,,,,,
